epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1286.97,1.7814,1.842,1.44825,0.73985,0.70031,0.72374,0.36574,1.70543,1.86574,1.42738,0.000472461,0.000472461,0.000472461
2,2540.05,1.47175,1.12412,1.22959,0.79771,0.76178,0.76723,0.3954,1.69033,1.37517,1.37831,0.000939401,0.000939401,0.000939401
3,3784.57,1.41859,0.9996,1.21307,0.77583,0.79465,0.77605,0.42652,1.55856,1.25874,1.32253,0.00139691,0.00139691,0.00139691
4,5016.95,1.37315,0.89905,1.18701,0.82592,0.74765,0.77838,0.42841,1.67005,1.19684,1.40603,0.00138656,0.00138656,0.00138656
5,6246.22,1.33492,0.81693,1.17487,0.81979,0.82919,0.83521,0.48566,1.50854,1.02235,1.30121,0.00137241,0.00137241,0.00137241
6,7499.08,1.28951,0.76808,1.14311,0.8141,0.81463,0.81334,0.46518,1.52218,1.01602,1.31714,0.00135826,0.00135826,0.00135826
7,8730.72,1.24252,0.72574,1.12636,0.85061,0.84251,0.84329,0.50677,1.42342,0.90818,1.2523,0.00134412,0.00134412,0.00134412
8,9978.91,1.21877,0.70733,1.1211,0.83783,0.83305,0.84211,0.49769,1.50753,0.93216,1.31518,0.00132997,0.00132997,0.00132997
9,11218,1.19225,0.68076,1.1033,0.83358,0.83573,0.84828,0.52404,1.42794,0.86372,1.29044,0.00131582,0.00131582,0.00131582
10,12455.5,1.14952,0.64343,1.09184,0.86137,0.8427,0.863,0.52928,1.37451,0.87035,1.25152,0.00130168,0.00130168,0.00130168
11,13679.8,1.13658,0.63879,1.08585,0.83507,0.81629,0.85351,0.5157,1.47588,0.88731,1.30386,0.00128753,0.00128753,0.00128753
12,14919.9,1.12412,0.62133,1.07694,0.81449,0.82183,0.82114,0.44987,1.61585,0.94904,1.35151,0.00127338,0.00127338,0.00127338
13,16149.1,1.09112,0.59939,1.0663,0.86637,0.86424,0.88111,0.56578,1.30739,0.81333,1.22574,0.00125923,0.00125923,0.00125923
14,17398.9,1.08859,0.60351,1.06294,0.89009,0.81593,0.87003,0.55723,1.37446,0.87286,1.23419,0.00124509,0.00124509,0.00124509
15,18662.6,1.06017,0.57943,1.05228,0.86565,0.85449,0.88037,0.56605,1.29227,0.81003,1.19837,0.00123094,0.00123094,0.00123094
16,20019.8,1.03551,0.57015,1.04061,0.86574,0.86311,0.88377,0.57502,1.30836,0.79643,1.25408,0.00121679,0.00121679,0.00121679
17,21293.9,1.02095,0.56235,1.03837,0.87759,0.87783,0.89607,0.58616,1.2685,0.76259,1.22055,0.00120265,0.00120265,0.00120265
18,22497.5,1.0015,0.54587,1.03186,0.88239,0.84046,0.87785,0.58653,1.29465,0.79947,1.25304,0.0011885,0.0011885,0.0011885
